id,device_id,device_name,status,battery_level,current_location,distance,created_at,updated_at
1,a1,a1,working,100,5,15.50,2025-09-11T12:34:00.465967,2025-09-20T14:38:30.391184
2,123,enmac,working,100,3,2000.00,2025-09-11T18:10:00.457250,2025-09-20T14:38:30.392362
3,B123,igno,working,100,2,1000.00,2025-09-11T18:42:37.986651,2025-09-20T14:38:30.393283
4,dv1,dv1,working,100,5,2200.00,2025-09-12T13:48:49.815033,2025-09-20T14:38:30.394165
5,m1,m1,working,100,4,2000.00,2025-09-12T15:38:30.040019,2025-09-20T14:38:30.395008
6,p11,p11,working,100,2,1000.00,2025-09-17T13:44:48.024031,2025-09-20T14:38:30.395792
7,d11,d11,working,100,1,,2025-09-22T16:02:39.498308,2025-09-22T16:02:39.498308
8,pp111,pp111,working,100,20,,2025-09-22T16:10:18.553068,2025-09-22T16:10:18.553068
9,ppp11,ppp11,working,100,1,,2025-09-22T17:47:10.055121,2025-09-22T17:47:10.055121
10,dev1,dev1,working,100,1,,2025-09-22T17:54:06.251772,2025-09-22T17:54:06.251772
11,dv1,dv1,working,100,1,,2025-09-23T16:29:50.771410,2025-09-23T16:29:50.771410
12,dv11,dv11,working,100,1,,2025-09-24T12:13:32.685392,2025-09-24T12:13:32.685392
