id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,rack_levels,rack_distances,total_rack_height,distance_from_start,created_at
15,6,2,STOP_1_2_001,C1,150,180,1,1,1.5,1.5,2,,,0,2025-01-14T14:37:00
16,6,2,STOP_1_2_002,C2,170,180,1,1,1.5,1.5,2,,,0,2025-01-14T14:37:00
17,7,2,STOP_2_3_001,C3,190,210,1,1,1.5,1.5,2,,,25.0,2025-01-14T14:42:00
18,8,3,STOP_1_2_001,D1,200,150,5,0,2.0,0.0,1,,,50.0,2025-01-13T11:22:00
19,8,3,STOP_1_2_002,D2,220,150,5,0,2.0,0.0,1,,,50.0,2025-01-13T11:22:00
20,9,3,STOP_2_3_001,S1,250,180,0,3,0.0,2.5,1,,,0,2025-01-13T11:27:0021
21,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,4,4,2.0,2.0,2,,,0,2025-08-12T12:51:17.571480
22,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,0,2025-08-12T13:07:32.584963
23,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,0,2025-08-12T13:08:25.854337
24,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,0,2025-08-12T13:08:36.079025
25,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,2,2,2.0,2.0,5,,,0,2025-08-12T15:48:22.610455
26,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,19,2.0,2.0,4,"10.0,3.0,3.0,3.0",19.0,0,2025-08-12T18:04:43.060271
27,10,4,STOP_Zone_3_Zone_4_001,Stop Zone_3 to Zone_4,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-12T18:28:56.927648
28,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-12T18:30:56.744790
29,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,2,2.0,2.0,4,"1.0,2.0,3.0,4.0",10.0,0,2025-08-12T18:38:50.281344
30,14,7,STOP_1_2_001,Stop 1 to 2,100,100,4,4,2.0,2.0,2,"10.0,3.0",13.0,0,2025-08-12T18:50:32.911669
31,35,16,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T11:26:18.165239
32,36,16,STOP_b_c_001,Stop b to c,100,100,4,2,2.0,2.0,2,"10.0,3.0",13.0,0,2025-08-13T11:27:39.843883
33,35,16,STOP_a_b_001,Stop a to b,100,100,4,2,2.0,2.0,2,"10.0,3.0",13.0,0,2025-08-13T11:27:54.634059
34,37,16,STOP_c_d_001,Stop c to d,100,100,2,0,2.0,2.0,2,"10.0,3.0",13.0,0,2025-08-13T11:31:22.062721
35,38,17,STOP_a_b_001,Stop a to b,100,100,2,0,2.0,2.0,2,"10.0,3.0",13.0,0,2025-08-13T11:41:15.540559
36,39,18,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T12:22:00.716519
37,39,18,STOP_a_b_001,Stop a to b,100,100,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T12:23:03.299424
38,40,19,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T12:33:49.864176
39,41,20,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T12:40:16.071378
40,42,21,STOP_1_2_001,Stop 1 to 2,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T12:50:39.767167
41,43,22,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:07:47.527507
42,44,23,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:21:00.491674
43,45,24,STOP_1_to_2_001,Stop 1,500.0,383.3333333333333,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:27:55.613813
44,45,24,STOP_1_to_2_002,Stop 2,500.0,366.6666666666667,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:27:55.628755
45,45,24,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:28:43.300657
46,45,24,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:28:43.315378
47,45,24,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:28:43.328125
48,46,25,STOP_1_to_2_001,Stop 1,500.0,416.6666666666667,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T13:33:17.059865
49,46,25,STOP_1_to_2_002,Stop 2,500.0,433.3333333333333,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T13:33:17.078071
50,49,27,STOP_1_to_2_001,Stop 1,500.0,383.3333333333333,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:36:03.174241
51,49,27,STOP_1_to_2_002,Stop 2,500.0,366.6666666666667,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:36:03.193417
52,50,28,STOP_1_to_2_001,Stop 1,500.0,375.0,1,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:37:58.910051
53,50,28,STOP_1_to_2_001,Stop 1,500.0,375.0,0,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T13:38:50.002585
54,50,28,STOP_1_to_2_001,Stop 1,500.0,387.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:39:51.994776
55,50,28,STOP_1_to_2_002,Stop 2,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:39:52.016208
56,50,28,STOP_1_to_2_003,Stop 3,500.0,362.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:39:52.023497
