id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,distance_from_start,created_at
1,4,2,STOP_02_RIGHT1,Stop 2 - Right Bin 1,98.0,97.5,2,1,2.0,2.0,2.5,
2,4,2,STOP_03_LEFT2,Stop 3 - Left Bin 2,102.0,96.66666666666667,2,1,2.0,2.0,3.3333333333333335,
3,6,4,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,99.0,4,0,2.0,2.0,1.0,2025-09-11T18:08:53.013744
4,6,4,STOP_02_LEFT2,Stop 2 - Left Bin 2,102.0,98.0,4,0,2.0,2.0,2.0,2025-09-11T18:08:53.032491
5,6,4,STOP_03_LEFT3,Stop 3 - Left Bin 3,102.0,97.0,4,0,2.0,2.0,3.0,2025-09-11T18:08:53.044065
6,6,4,STOP_04_LEFT4,Stop 4 - Left Bin 4,102.0,96.0,4,0,2.0,2.0,4.0,2025-09-11T18:08:53.059201
7,9,5,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,99.0,0,4,2.0,2.0,1.0,2025-09-11T18:41:26.054848
8,9,5,STOP_02_RIGHT2,Stop 2 - Right Bin 2,98.0,98.0,0,4,2.0,2.0,2.0,2025-09-11T18:41:26.072100
9,9,5,STOP_03_RIGHT3,Stop 3 - Right Bin 3,98.0,97.0,0,4,2.0,2.0,3.0,2025-09-11T18:41:26.086702
10,9,5,STOP_04_RIGHT4,Stop 4 - Right Bin 4,98.0,96.0,0,4,2.0,2.0,4.0,2025-09-11T18:41:26.102031
11,10,6,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,97.5,1,0,2.0,2.0,2.5,2025-09-12T13:48:35.859797
12,22,8,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,97.5,0,1,2.0,2.0,2.5,2025-09-17T13:44:18.918007
13,1,1,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,98.5,1,0,2.0,2.0,1.5,2025-09-25T10:49:55.999473
14,1,1,STOP_02_RIGHT1,Stop 2 - Right Bin 1,98.0,98.5,0,1,2.0,3.0,1.5,2025-09-25T10:51:16.956622
15,3,2,STOP_04_LEFT1,Stop 4 - Left Bin 1,102.0,98.33333333333333,2,2,2.0,2.0,1.6666666666666667,2025-09-25T12:21:17.299490
16,3,2,STOP_05_RIGHT1,Stop 5 - Right Bin 1,98.0,98.33333333333333,2,2,2.0,2.0,1.6666666666666667,2025-09-25T12:21:17.320769
17,3,2,STOP_06_LEFT2,Stop 6 - Left Bin 2,102.0,96.66666666666667,2,2,2.0,2.0,3.3333333333333335,2025-09-25T12:21:17.337692
18,3,2,STOP_07_RIGHT2,Stop 7 - Right Bin 2,98.0,96.66666666666667,2,2,2.0,2.0,3.3333333333333335,2025-09-25T12:21:17.351746
