id,task_id,task_name,task_type,status,assigned_device_id,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,adad,picking,completed,1,,,,16,2025-09-11T13:04:59.680727,2025-09-11T13:06:03.403274,2025-09-11T13:22:37.781604,2,4,STOP_02_RIGHT1,"{""pickup_map_id"": ""2"", ""pickup_map_name"": ""2"", ""from_zone"": ""2"", ""to_zone"": ""3"", ""zone_path"": [""2"", ""3""], ""drop_zone_ids"": [""4""], ""drop_zone_name"": ""2 \u2192 3"", ""drop_stops"": [""STOP_02_RIGHT1""], ""drop_stop_names"": [""Stop 2 - Right Bin 1 (STOP_02_RIGHT1)""]}"
2,TASK0002,hbvh,picking,running,1,,,,,2025-09-11T13:23:15.997436,2025-09-11T13:23:37.346820,,2,"3,4",STOP_03_LEFT2,"{""pickup_map_id"": ""2"", ""pickup_map_name"": ""2"", ""from_zone"": ""1"", ""to_zone"": ""3"", ""zone_path"": [""1"", ""2"", ""3""], ""drop_zone_ids"": [""3"", ""4""], ""drop_zone_name"": ""1 \u2192 2 \u2192 3"", ""drop_stops"": [""STOP_03_LEFT2""], ""drop_stop_names"": [""Stop 3 - Left Bin 2 (STOP_03_LEFT2)""]}"
3,TASK0003,t12,picking,pending,2,,,,,2025-09-11T18:10:39.464254,,,4,6,,"{""pickup_map_id"": ""4"", ""pickup_map_name"": ""map1"", ""from_zone"": ""2"", ""to_zone"": ""3"", ""zone_path"": [""2"", ""3""], ""drop_zone_ids"": [""6""], ""drop_zone_name"": ""2 \u2192 3"", ""drop_stops"": [], ""drop_stop_names"": []}"
4,TASK0004,task12,picking,running,2,,,,,2025-09-11T18:11:33.936267,2025-09-11T18:11:54.164427,,4,6,"STOP_01_LEFT1,STOP_02_LEFT2,STOP_03_LEFT3,STOP_04_LEFT4","{""pickup_map_id"": ""4"", ""pickup_map_name"": ""map1"", ""from_zone"": ""2"", ""to_zone"": ""3"", ""zone_path"": [""2"", ""3""], ""drop_zone_ids"": [""6""], ""drop_zone_name"": ""2 \u2192 3"", ""drop_stops"": [""STOP_01_LEFT1"", ""STOP_02_LEFT2"", ""STOP_03_LEFT3"", ""STOP_04_LEFT4""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)"", ""Stop 2 - Left Bin 2 (STOP_02_LEFT2)"", ""Stop 3 - Left Bin 3 (STOP_03_LEFT3)"", ""Stop 4 - Left Bin 4 (STOP_04_LEFT4)""]}"
5,TASK0005,tt23,picking,running,3,,,,,2025-09-11T18:43:22.904517,2025-09-11T18:44:27.638487,,5,9,"STOP_02_RIGHT2,STOP_03_RIGHT3","{""pickup_map_id"": ""5"", ""pickup_map_name"": ""m3"", ""from_zone"": ""2"", ""to_zone"": ""3"", ""zone_path"": [""2"", ""3""], ""drop_zone_ids"": [""9""], ""drop_zone_name"": ""2 \u2192 3"", ""drop_stops"": [""STOP_02_RIGHT2"", ""STOP_03_RIGHT3""], ""drop_stop_names"": [""Stop 2 - Right Bin 2 (STOP_02_RIGHT2)"", ""Stop 3 - Right Bin 3 (STOP_03_RIGHT3)""]}"
6,TASK0006,tf1,picking,running,4,,,,,2025-09-12T13:49:19.918937,2025-09-12T13:49:27.612207,,6,10,STOP_01_LEFT1,"{""pickup_map_id"": ""6"", ""pickup_map_name"": ""m11"", ""from_zone"": ""1"", ""to_zone"": ""2"", ""zone_path"": [""1"", ""2""], ""drop_zone_ids"": [""10""], ""drop_zone_name"": ""1 \u2192 2"", ""drop_stops"": [""STOP_01_LEFT1""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)""]}"
7,TASK0007,jnk,auditing,running,5,,,,,2025-09-12T15:39:06.871051,2025-09-12T15:39:35.178125,,7,,,"{""auditing_map_id"": ""7"", ""auditing_map_name"": ""1"", ""barcode"": """"}"
8,TASK0008,pck,picking,running,6,,,,,2025-09-17T13:45:18.672372,2025-09-17T13:45:31.858139,,8,22,STOP_01_RIGHT1,"{""pickup_map_id"": ""8"", ""pickup_map_name"": ""p1"", ""from_zone"": ""1"", ""to_zone"": ""2"", ""zone_path"": [""1"", ""2""], ""drop_zone_ids"": [""22""], ""drop_zone_name"": ""1 \u2192 2"", ""drop_stops"": [""STOP_01_RIGHT1""], ""drop_stop_names"": [""Stop 1 - Right Bin 1 (STOP_01_RIGHT1)""]}"
9,TASK0009,t111,auditing,running,7,,,,,2025-09-22T16:03:14.833729,2025-09-22T16:03:24.292006,,8,,,"{""auditing_map_id"": ""8"", ""auditing_map_name"": ""p1"", ""barcode"": """"}"
10,TASK0010,ppp1p1,auditing,running,8,,,,,2025-09-22T16:10:36.476915,2025-09-22T16:10:44.080163,,9,,,"{""auditing_map_id"": ""9"", ""auditing_map_name"": ""ppp"", ""barcode"": """"}"
