id,map_id,from_zone,to_zone,magnitude,zone_type,created_at
1,1,1,2,50.0,storage,2025-01-15T08:30:00
2,1,2,3,75.0,picking,2025-01-15T08:35:00
3,1,3,4,40.0,packing,2025-01-15T08:40:00
4,1,1,5,100.0,storage,2025-01-15T08:45:00
5,1,5,6,60.0,shipping,2025-01-15T08:50:00
6,2,1,2,30.0,storage,2025-01-14T14:35:00
7,2,2,3,25.0,storage,2025-01-14T14:40:00
8,4,zone_1,Zone_2,50.0,storage,2025-08-12T12:32:39.300500
9,4,Zone_2,Zone_3,50.0,storage,2025-08-12T13:22:52.199421
10,4,Zone_3,Zone_4,50.0,storage,2025-08-12T13:23:25.101492
11,5,Zone_1,Zone_1,50.0,storage,2025-08-12T13:45:22.860306
12,6,Zone_1,Zone_2,50.0,picking,2025-08-12T13:46:28.787138
13,6,zone_2,zone_3,50.0,shipping,2025-08-12T17:06:09.392028
