id,map_id,from_zone,to_zone,magnitude,direction,zone_type,created_at
1,1,b,c,3.0,north,storage,
2,1,a,b,3.0,north,storage,
3,2,1,2,5.0,north,storage,
4,2,2,3,5.0,north,storage,
5,4,1,2,5.0,north,storage,2025-09-11T18:06:15.924980
6,4,2,3,5.0,north,storage,2025-09-11T18:07:28.724229
7,4,3,4,5.0,east,storage,2025-09-11T18:08:25.806290
8,5,1,2,5.0,north,storage,2025-09-11T18:40:56.452302
9,5,2,3,5.0,north,storage,2025-09-11T18:41:06.133590
10,6,1,2,5.0,north,storage,2025-09-12T13:47:58.885326
11,6,2,3,5.0,east,storage,2025-09-12T13:48:20.325730
12,6,3,4,5.0,north,storage,2025-09-12T14:05:17.535905
13,6,2,5,5.0,north,storage,2025-09-12T14:10:43.761424
14,6,5,2,50.0,north,storage,2025-09-12T14:17:04.147421
15,6,5,2,50.0,south,storage,2025-09-12T14:18:05.386296
16,6,4,5,5.0,west,storage,2025-09-12T15:31:30.013903
17,7,1,2,5.0,north,storage,2025-09-12T15:36:29.357814
18,7,2,3,5.0,east,storage,2025-09-12T15:36:55.706387
19,7,3,4,5.0,north,storage,2025-09-12T15:37:22.614583
20,7,4,5,5.0,west,storage,2025-09-12T15:37:44.964405
21,7,5,2,5.0,south,storage,2025-09-12T15:38:08.008255
22,8,1,2,5.0,north,storage,2025-09-17T13:41:46.847637
23,8,2,3,5.0,east,storage,2025-09-17T13:42:16.374940
24,8,2,4,50.0,north,storage,2025-09-17T13:42:23.657992
