sku_location_id,map_name,zone_name,stop_id,rack_id
2_STOP_04_LEFT1_1_1,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_2,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_3,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_4,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_5,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_6,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_7,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_8,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_9,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
2_STOP_04_LEFT1_1_10,2,1 -> 2,STOP_04_LEFT1,2_STOP_04_LEFT1_1
